Age,males_2018,females_2018,males_2022,females_2022,males_2023,females_2023
0,2410,2210,2420,2290,2670,2480
1,2890,2760,2980,2750,3040,2950
2,2960,2840,2970,2800,3050,2930
3,2940,2940,3210,3180,3220,3080
4,3110,2810,3420,3320,3380,3190
5,2760,2640,3310,3150,3350,3050
6,2470,2430,3130,2970,3080,2970
7,2310,2180,2930,2850,3000,2790
8,2240,2130,2830,2730,2890,2760
9,2100,2020,2730,2570,2810,2700
10,2130,1950,2610,2410,2640,2510
11,1910,1960,2590,2330,2650,2570
12,1820,1700,2350,2250,2520,2430
13,1750,1680,2180,2160,2310,2110
14,1800,1800,2330,2230,2360,2370
15,2000,2040,2370,2390,2620,2540
16,2140,2160,2310,2210,2530,2650
17,4100,3760,2900,2800,3360,3280
18,9890,7970,13350,11690,12400,12110
19,10830,8710,16190,12600,12480,11170
20,8720,7530,13950,10690,9610,8210
21,9750,8850,13740,11240,10870,9730
22,13670,12550,17290,15660,15130,14780
23,15050,13730,18020,17470,16690,16560
24,13650,13100,18240,18730,15270,15670
25,12280,12730,18060,19120,15630,16710
26,11360,12020,17100,18350,14810,16110
27,10630,11300,15860,17000,13350,14690
28,9940,10750,14500,15180,12230,13240
29,9260,9490,13350,13670,11030,11860
30,8130,8510,12330,12240,9740,10400
31,7040,7250,10710,10340,8960,9130
32,6360,6240,9680,9070,7730,7530
33,5630,5510,9090,8230,7240,6900
34,4910,4930,8080,7280,6890,6510
35,4540,4360,7310,6560,6320,5730
36,4260,4140,6830,5800,5960,5260
37,3780,3680,6050,5330,5270,4970
38,3460,3180,5580,4830,5030,4500
39,3200,3000,5150,4420,4640,4220
40,2930,2760,4750,4070,4290,3850
41,2470,2450,4170,3420,3870,3500
42,2290,2170,3710,3160,3530,3150
43,2210,1990,3250,2810,3090,2840
44,1970,1930,2780,2450,2860,2550
45,1890,1830,2360,2190,2260,2060
46,1750,1730,2110,1950,1960,1860
47,1610,1620,1990,1900,1760,1810
48,1430,1500,1770,1720,1650,1610
49,1360,1480,1700,1670,1530,1550
50,1280,1410,1580,1600,1430,1590
51,1240,1280,1490,1640,1400,1620
52,1180,1300,1310,1520,1310,1670
53,1120,1340,1230,1460,1320,1770
54,1170,1470,1170,1450,1250,1680
55,1180,1660,1080,1380,980,1300
56,1150,1670,1100,1460,870,1210
57,1070,1450,1050,1480,870,1270
58,1040,1540,1020,1530,900,1330
59,1160,1610,1030,1610,920,1400
60,1190,1580,1180,1540,1150,1560
61,1260,1580,970,1360,1010,1440
62,1230,1540,920,1380,930,1310
63,1220,1570,920,1280,870,1370
64,1190,1410,880,1290,890,1250
65,1210,1240,960,1380,950,1290
66,1030,1090,1130,1450,1020,1370
67,920,970,960,1330,950,1210
68,840,790,990,1140,930,1150
69,800,780,830,1040,860,1050
70,710,710,750,910,780,910
71,610,580,620,770,690,740
72,570,530,620,690,610,660
73,430,430,560,620,580,610
74,370,380,460,550,510,580
75,320,300,460,490,440,520
76,280,270,370,420,380,390
77,270,240,290,350,310,370
78,220,230,240,310,270,280
79,190,190,200,240,230,260
80,140,170,200,220,190,230
81,140,150,160,180,170,190
82,100,110,140,180,150,160
83,90,100,110,150,120,130
84,80,80,90,140,110,110
85,70,70,90,120,60,110
86,60,50,70,100,60,90
87,30,50,60,70,50,70
88,30,40,50,70,40,60
89,30,20,30,60,40,40
90,20,20,20,40,20,30
91,10,20,20,40,20,20
92,10,10,10,20,10,20
93,0,10,10,10,10,10
94,10,10,10,10,10,10
95,0,0,0,10,0,10
96,0,10,0,10,0,10
97,0,0,0,0,0,0
98,0,0,0,0,0,0
99,0,0,0,0,0,0
100,0,10,0,0,0,0
