State,Year,NetMigration
New South Wales,2004,47440
New South Wales,2005,53610
New South Wales,2006,73570
New South Wales,2007,87390
New South Wales,2008,86740
New South Wales,2009,57150
New South Wales,2010,51680
New South Wales,2011,57230
New South Wales,2012,66760
New South Wales,2013,66990
New South Wales,2014,70310
New South Wales,2015,80010
New South Wales,2016,105500
New South Wales,2017,90650
New South Wales,2018,84540
New South Wales,2019,57890
New South Wales,2020,-7330
New South Wales,2021,69110
New South Wales,2022,177100
New South Wales,2023,142470
Victoria,2004,37620
Victoria,2005,44980
Victoria,2006,62540
Victoria,2007,73560
Victoria,2008,83620
Victoria,2009,53680
Victoria,2010,44630
Victoria,2011,56170
Victoria,2012,59030
Victoria,2013,56910
Victoria,2014,60690
Victoria,2015,72220
Victoria,2016,91240
Victoria,2017,86970
Victoria,2018,85480
Victoria,2019,60570
Victoria,2020,-52990
Victoria,2021,66050
Victoria,2022,159420
Victoria,2023,132860
Queensland,2004,26710
Queensland,2005,32730
Queensland,2006,46150
Queensland,2007,53910
Queensland,2008,59320
Queensland,2009,35820
Queensland,2010,34630
Queensland,2011,46540
Queensland,2012,41830
Queensland,2013,27220
Queensland,2014,20430
Queensland,2015,24950
Queensland,2016,34080
Queensland,2017,27740
Queensland,2018,31750
Queensland,2019,27970
Queensland,2020,-12860
Queensland,2021,29620
Queensland,2022,86010
Queensland,2023,74930
South Australia,2004,8550
South Australia,2005,11870
South Australia,2006,14630
South Australia,2007,15330
South Australia,2008,18010
South Australia,2009,14540
South Australia,2010,9170
South Australia,2011,12360
South Australia,2012,11680
South Australia,2013,11640
South Australia,2014,11150
South Australia,2015,11280
South Australia,2016,12180
South Australia,2017,12720
South Australia,2018,15140
South Australia,2019,14930
South Australia,2020,-2830
South Australia,2021,14320
South Australia,2022,29310
South Australia,2023,23270
Western Australia,2004,19190
Western Australia,2005,25510
Western Australia,2006,31380
Western Australia,2007,41180
Western Australia,2008,44330
Western Australia,2009,28870
Western Australia,2010,36430
Western Australia,2011,50780
Western Australia,2012,42140
Western Australia,2013,18750
Western Australia,2014,14070
Western Australia,2015,11620
Western Australia,2016,12010
Western Australia,2017,11980
Western Australia,2018,17480
Western Australia,2019,25170
Western Australia,2020,-5070
Western Australia,2021,15340
Western Australia,2022,66610
Western Australia,2023,58080
Tasmania,2004,1240
Tasmania,2005,1350
Tasmania,2006,1440
Tasmania,2007,1840
Tasmania,2008,2130
Tasmania,2009,1680
Tasmania,2010,990
Tasmania,2011,1520
Tasmania,2012,1620
Tasmania,2013,1800
Tasmania,2014,1520
Tasmania,2015,1770
Tasmania,2016,2340
Tasmania,2017,2800
Tasmania,2018,3190
Tasmania,2019,3640
Tasmania,2020,-320
Tasmania,2021,3350
Tasmania,2022,4760
Tasmania,2023,3820
Northern Territory,2004,1010
Northern Territory,2005,640
Northern Territory,2006,1150
Northern Territory,2007,1620
Northern Territory,2008,2100
Northern Territory,2009,1230
Northern Territory,2010,1100
Northern Territory,2011,3330
Northern Territory,2012,4350
Northern Territory,2013,1750
Northern Territory,2014,2350
Northern Territory,2015,1050
Northern Territory,2016,1850
Northern Territory,2017,760
Northern Territory,2018,930
Northern Territory,2019,290
Northern Territory,2020,-420
Northern Territory,2021,2340
Northern Territory,2022,3890
Northern Territory,2023,3640
Australian Capital Territory,2004,820
Australian Capital Territory,2005,1160
Australian Capital Territory,2006,1940
Australian Capital Territory,2007,2520
Australian Capital Territory,2008,3610
Australian Capital Territory,2009,3090
Australian Capital Territory,2010,1740
Australian Capital Territory,2011,4020
Australian Capital Territory,2012,2920
Australian Capital Territory,2013,2720
Australian Capital Territory,2014,3500
Australian Capital Territory,2015,3330
Australian Capital Territory,2016,4150
Australian Capital Territory,2017,4600
Australian Capital Territory,2018,2810
Australian Capital Territory,2019,2240
Australian Capital Territory,2020,-3150
Australian Capital Territory,2021,3390
Australian Capital Territory,2022,8390
Australian Capital Territory,2023,6520
