year,australian_born,overseas_born,total
2004,-18680,161260,142580
2005,-14740,186580,171840
2006,-12790,245580,232800
2007,-15220,292560,277340
2008,-2280,302340,299780
2009,-3620,199680,196060
2010,-8130,196690,188510
2011,-7980,239920,231950
2012,-9840,250010,240170
2013,-19390,207170,187780
2014,-23000,207040,184030
2015,-21370,227600,206230
2016,-15800,279150,263350
2017,-15490,253720,238220
2018,-12360,253690,241340
2019,18060,174630,192700
2020,7470,-92940,-84940
2021,-14540,218130,203590
2022,-26630,562150,535520
2023,-21540,467180,445640
